Title,Year,ISSN,DOI,Link
6G IoV Networks Driven by RF Digital Twin Modeling,2024,15249050,10.1109/TITS.2023.3292533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167795331&doi=10.1109%2fTITS.2023.3292533&partnerID=40&md5=10c42fb2353e09761fe51f34bbf8edb0
Intent-based AI system in packet-optical networks towards 6G [Invited],2024,19430620,10.1364/JOCN.514890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190094875&doi=10.1364%2fJOCN.514890&partnerID=40&md5=b8bc8fabbc0b611171ba8c28c1ffadcd
Multiagent deep reinforcement learning based Energy efficient resource management scheme for RIS assisted D2D users in 6G-aided smart cities environment,2025,11100168,10.1016/j.aej.2024.12.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214303826&doi=10.1016%2fj.aej.2024.12.004&partnerID=40&md5=b6727a5fb9cff54eb60cbc0aa5d9f496
Explainable and Robust Artificial Intelligence for Trustworthy Resource Management in 6G Networks,2024,01636804,10.1109/MCOM.001.2300172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176335424&doi=10.1109%2fMCOM.001.2300172&partnerID=40&md5=29973ff8740959fee16f804eacf1dc42
Blockchain-Based Secure 5G/6G Communication for Internet of Things Devices in Consumer Electronic Systems,2024,00983063,10.1109/TCE.2024.3454299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205144737&doi=10.1109%2fTCE.2024.3454299&partnerID=40&md5=3bb805fb4081e0ba817650a6a7fede50
Joint Optimization Algorithm of Training Delay and Energy Efficiency for Wireless Large-Scale Distributed Machine Learning Combined With Blockchain for 6G Networks,2024,23274662,10.1109/JIOT.2024.3418463,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197078588&doi=10.1109%2fJIOT.2024.3418463&partnerID=40&md5=31a636d38317816bb1a7f0cf044bb606
How to Allocate Resources in Cloud-Native Networks Towards 6G,2024,08908044,10.1109/MNET002.2300017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159848247&doi=10.1109%2fMNET002.2300017&partnerID=40&md5=e0c3ae5732936065d370f2380dcb43aa
Dynamic Activation Digital Predistortion of RF Power Amplifiers for 6G Dynamic Spectrum Aggregation Applications,2024,00189480,10.1109/TMTT.2023.3318732,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174844840&doi=10.1109%2fTMTT.2023.3318732&partnerID=40&md5=1b919dbb4504b87536824ea12280ae57
Task Offloading Optimization in Digital Twin Assisted MEC-Enabled Air-Ground IIoT 6G Networks,2024,00189545,10.1109/TVT.2024.3420876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197510892&doi=10.1109%2fTVT.2024.3420876&partnerID=40&md5=deec145919d89f1040ec8bdac2950ade
RL-Based Adaptive UAV Swarm Formation and Clustering for Secure 6G Wireless Communications in Dynamic Dense Environments,2024,21693536,10.1109/ACCESS.2024.3455250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203558481&doi=10.1109%2fACCESS.2024.3455250&partnerID=40&md5=f311e6cc5384cc280283e8536b62eee6
Intent-Driven Closed-Loop Control and Management Framework for 6G Open RAN,2024,23274662,10.1109/JIOT.2023.3312795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171592629&doi=10.1109%2fJIOT.2023.3312795&partnerID=40&md5=6e6bc2e476892da6bf4f0301929a3aa9
Multiagent Deep Deterministic Policy Gradient-Based Computation Offloading and Resource Allocation for ISAC-Aided 6G V2X Networks,2024,23274662,10.1109/JIOT.2024.3432728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199513630&doi=10.1109%2fJIOT.2024.3432728&partnerID=40&md5=2fae06adc4749179622ed4195cee9ccb
DRL-Based Resource Allocation and Trajectory Planning for NOMA-Enabled Multi-UAV Collaborative Caching 6G Network,2024,00189545,10.1109/TVT.2024.3357086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183993740&doi=10.1109%2fTVT.2024.3357086&partnerID=40&md5=6c251da7aaa8ef9556f28f7b953bac95
Edge Computation Offloading With Content Caching in 6G-Enabled IoV,2024,15249050,10.1109/TITS.2023.3239599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148445603&doi=10.1109%2fTITS.2023.3239599&partnerID=40&md5=8cb11521086cf83e2d6c3decf427203b
Real-Time Bayesian Neural Networks for 6G Cooperative Positioning and Tracking,2024,07338716,10.1109/JSAC.2024.3413950,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202193372&doi=10.1109%2fJSAC.2024.3413950&partnerID=40&md5=9764fcd569ddcb179094f0b256cdc90d
Network-Aided Intelligent Traffic Steering in 6G O-RAN: A Multi-Layer Optimization Framework,2024,07338716,10.1109/JSAC.2023.3336183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179063499&doi=10.1109%2fJSAC.2023.3336183&partnerID=40&md5=03ddce5c7e2ea5f69fa348df724df896
Intelligible Protocol Learning for Resource Allocation in 6G O-RAN Slicing,2024,15361284,10.1109/MWC.015.2300552,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204314315&doi=10.1109%2fMWC.015.2300552&partnerID=40&md5=56c5d58f81f89287926043add3eb6cba
AI-Driven Integration of Sensing and Communication in the 6G Era,2024,08908044,10.1109/MNET.2023.3326064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176340079&doi=10.1109%2fMNET.2023.3326064&partnerID=40&md5=f7780ba9cd08de136d72621acc6cfa28
Efficient Dynamic Distributed Resource Slicing in 6G Multi-Access Edge Computing Networks With Online ADMM and Message Passing Graph Neural Networks,2024,15361233,10.1109/TMC.2023.3262514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151489034&doi=10.1109%2fTMC.2023.3262514&partnerID=40&md5=d0887c290fad85edd09950a4beff25ee
Dynamic Neural Network-Based Resource Management for Mobile Edge Computing in 6G Networks,2024,23327731,10.1109/TCCN.2023.3346824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181554394&doi=10.1109%2fTCCN.2023.3346824&partnerID=40&md5=5507039175841c7f86a1c3cb4fff6042
"Advanced Deep Learning Models for 6G: Overview, Opportunities, and Challenges",2024,21693536,10.1109/ACCESS.2024.3418900,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197070055&doi=10.1109%2fACCESS.2024.3418900&partnerID=40&md5=aea121f9548f02276ea379547177771a
"Intelligent Network Slicing for B5G and 6G: Resource Allocation, Service Provisioning, and Security",2024,15361284,10.1109/MWC.021.2200589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196671509&doi=10.1109%2fMWC.021.2200589&partnerID=40&md5=f6641d6fe53dde33942fa2f04416e8db
Designing the Network Intelligence Stratum for 6G networks,2024,13891286,10.1016/j.comnet.2024.110780,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203518802&doi=10.1016%2fj.comnet.2024.110780&partnerID=40&md5=3fb37141633aaacf99570b1bb5c5a434
An Intelligent Scheme for Energy-Efficient Uplink Resource Allocation with QoS Constraints in 6G Networks,2024,19324537,10.1109/TNSM.2024.3482549,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207348931&doi=10.1109%2fTNSM.2024.3482549&partnerID=40&md5=39710d30e677e388fb1b56dc6fe2a456
FeDRL-D2D: Federated Deep Reinforcement Learning-Empowered Resource Allocation Scheme for Energy Efficiency Maximization in D2D-Assisted 6G Networks,2024,21693536,10.1109/ACCESS.2024.3434619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200204076&doi=10.1109%2fACCESS.2024.3434619&partnerID=40&md5=21a6ae9394dda2406ddd4d04d825e14c
Hybrid optimization for efficient 6G IoT traffic management and multi-routing strategy,2024,20452322,10.1038/s41598-024-81709-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213509382&doi=10.1038%2fs41598-024-81709-z&partnerID=40&md5=859b9bcf72dda30ad76c96981248813b
"A Tutorial on Fluid Antenna System for 6G Networks: Encompassing Communication Theory, Optimization Methods and Hardware Designs",2024,1553877X,10.1109/COMST.2024.3498855,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209735944&doi=10.1109%2fCOMST.2024.3498855&partnerID=40&md5=5c3d4687d653ee1fced903f7bbd6e891
Deep Reinforcement Learning for Integrated Sensing and Communication in RIS-Assisted 6G V2X System,2024,23274662,10.1109/JIOT.2024.3449969,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202760261&doi=10.1109%2fJIOT.2024.3449969&partnerID=40&md5=113415d48459ff912b7e2419cca6cce7
Deep Reinforcement Learning-Based Computation Offloading for Mobile Edge Computing in 6G,2024,00983063,10.1109/TCE.2024.3436824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200239722&doi=10.1109%2fTCE.2024.3436824&partnerID=40&md5=5cade9336e2a32a260298bfb122b94ff
