Title,Year,ISSN,DOI,Link,Telecom Category,Conceptualization,,,,,Data Handling,,,Model Development / Evaluation,,,,,,,,,Model Deployment,Publication,,,,Score
,,,,,,Presents the task to solve,Presents the state-of-the-art approaches,Describes the available data,Describes the model inputs/ outputs,Describes the model,Presents data preprocessing,Presents data division,Presents data distribution,Presents hyperparameter tuning,Uses the correct metrics for evaluation,Describes the experiments performed,Describes the testing environment,Describes the used hyperparameters,Uses real-world datasets,Uses open datasets,Uses multiple datasets,Compares with state-of-the-art models,Critically analyzes production applicability,Publishes the used dataset,Publishes the trained model,Publishes the code,Publish the seeds used,
Intent-based AI system in packet-optical networks towards 6G [Invited],2024,19430620,10.1364/JOCN.514890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190094875&doi=10.1364%2fJOCN.514890&partnerID=40&md5=b8bc8fabbc0b611171ba8c28c1ffadcd,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Partial,Yes,Partial,No,No,No,No,Yes,No,No,No,No,No,
Explainable and Robust Artificial Intelligence for Trustworthy Resource Management in 6G Networks,2024,1636804,10.1109/MCOM.001.2300172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176335424&doi=10.1109%2fMCOM.001.2300172&partnerID=40&md5=29973ff8740959fee16f804eacf1dc42,Resource and Traffic Management,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Partial,No,No,Yes,No,No,No,No,No,No,No,
Blockchain-Based Secure 5G/6G Communication for Internet of Things Devices in Consumer Electronic Systems,2024,983063,10.1109/TCE.2024.3454299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205144737&doi=10.1109%2fTCE.2024.3454299&partnerID=40&md5=3bb805fb4081e0ba817650a6a7fede50,Security and Privacy,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Partial,No,No,No,No,Yes,No,No,No,No,No,
How to Allocate Resources in Cloud-Native Networks Towards 6G,2024,8908044,10.1109/MNET002.2300017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159848247&doi=10.1109%2fMNET002.2300017&partnerID=40&md5=e0c3ae5732936065d370f2380dcb43aa,Resource and Traffic Management,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,Partial,No,No,No,No,
Dynamic Activation Digital Predistortion of RF Power Amplifiers for 6G Dynamic Spectrum Aggregation Applications,2024,189480,10.1109/TMTT.2023.3318732,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174844840&doi=10.1109%2fTMTT.2023.3318732&partnerID=40&md5=1b919dbb4504b87536824ea12280ae57,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Partial,No,No,Yes,Yes,Yes,No,No,No,No,
Task Offloading Optimization in Digital Twin Assisted MEC-Enabled Air-Ground IIoT 6G Networks,2024,189545,10.1109/TVT.2024.3420876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197510892&doi=10.1109%2fTVT.2024.3420876&partnerID=40&md5=deec145919d89f1040ec8bdac2950ade,Computing and Edge,Yes,Yes,Partial,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,
RL-Based Adaptive UAV Swarm Formation and Clustering for Secure 6G Wireless Communications in Dynamic Dense Environments,2024,21693536,10.1109/ACCESS.2024.3455250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203558481&doi=10.1109%2fACCESS.2024.3455250&partnerID=40&md5=f311e6cc5384cc280283e8536b62eee6,Security and Privacy,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,
Intent-Driven Closed-Loop Control and Management Framework for 6G Open RAN,2024,23274662,10.1109/JIOT.2023.3312795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171592629&doi=10.1109%2fJIOT.2023.3312795&partnerID=40&md5=6e6bc2e476892da6bf4f0301929a3aa9,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,
Multiagent Deep Deterministic Policy Gradient-Based Computation Offloading and Resource Allocation for ISAC-Aided 6G V2X Networks,2024,23274662,10.1109/JIOT.2024.3432728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199513630&doi=10.1109%2fJIOT.2024.3432728&partnerID=40&md5=2fae06adc4749179622ed4195cee9ccb,Computing and Edge,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
