Presents the task to solve,Presents the state-of-the-art approaches,Describes the available data,Describes the model inputs/ outputs,Describes the model,Presents data preprocessing,Presents data division,Presents data distribution,Presents hyperparameter tuning,Uses the correct metrics for evaluation,Describes the experiments performed,Describes the testing environment,Describes the used hyperparameters,Uses real-world datasets,Uses open datasets,Uses multiple datasets,Compares with state-of-the-art models,Critically analyzes production applicability,Publishes the used dataset,Publishes the trained model,Publishes the code,Publish the seeds used
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,No,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Partial,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,Yes,Yes,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
