"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On A Deep Reinforcement Learning-Based Content Caching Strategy in 6G Space-Air-Ground Integrated Networks","W. Du; Z. Wei; C. Li; Y. Feng; Y. Liu; B. Mao","School of Cybersecurity, Northwestern Polytechnical University, Xi'an, Shaanxi, China; School of Cybersecurity, Northwestern Polytechnical University, Xi'an, Shaanxi, China; School of Cybersecurity, Northwestern Polytechnical University, Xi'an, Shaanxi, China; School of Cybersecurity, Northwestern Polytechnical University, Xi'an, Shaanxi, China; School of Cybersecurity, Northwestern Polytechnical University, Xi'an, Shaanxi, China; School of Cybersecurity, Northwestern Polytechnical University, Xi'an, Shaanxi, China",2023 15th International Conference on Communication Software and Networks (ICCSN),"6 Nov 2023","2023","","","204","208","Space-Air-Ground Integrated Networks (SAGINs) have been widely recognized as an important 6G hierarchical architecture for satisfying content caching and delivering demands of users. However, the complicated communication conditions and dynamic network topology pose great challenges for SAGINs to meet the diversified Quality of Service (QoS) requirements of users. Caching popular contents on Unmanned Aerial Vehicles (UAVs), which are closer to the ground end users, can efficiently improve the QoS and decrease the communication pressure of satellites. In this paper, targeting at the spatial-temporal popularity of the contents, we propose a Deep Reinforcement Learning (DRL)-based content selection approach to optimize the Cache Hit Ratio (CHR) using a Deep Q-network (DQN) algorithm. The simulation results demonstrate that the proposed approach can significantly improve the long-term CHR under various conditions compared with conventional caching strategies.","2472-8489","979-8-3503-2936-0","10.1109/ICCSN57992.2023.10297332","National Key R&D Program of China(grant numbers:2022YFB3104200); National Natural Science Foundation of China(grant numbers:62202386); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10297332","Space-Air-Ground Integrated Networks;Deep Reinforcement Learning;Content Caching;Quality of Service","6G mobile communication;Satellites;Heuristic algorithms;Simulation;Software algorithms;Quality of service;Reinforcement learning","","","","15","IEEE","6 Nov 2023","","","IEEE","IEEE Conferences"
"Machine Learning-Based Channel Quality Prediction in 6G Mobile Networks","Z. Becvar; D. Gesbert; P. Mach; M. Najla","Czech Technical University in Prague, Czech Republic; EURECOM, France; Czech Technical University in Prague, Czech Republic; Czech Technical University in Prague, Czech Republic",IEEE Communications Magazine,"24 Jul 2023","2023","61","7","106","112","Channel quality is an essential information for management of radio resources in mobile networks. To acquire the channel quality information, pilot (or reference) signals are commonly transmitted, measured, and reported to the network. However, the process of channel quality acquisition is both time and energy consuming. Moreover, the radio resources are competitively shared by the pilot signals and users' data. This motivates an employment of prediction-based approaches determining the channel quality at low cost to avoid over-consumption of resources for pilots. Machine learning is seen as an efficient way to deal with the channel quality prediction, since it allows to reveal usually hidden relations among known and unknown channel quality measurements. In this article, we first overview state-of-the-art works leveraging the time, frequency, and spatial correlations among already known channel qualities and the channel(s), whose quality should be predicted. Furthermore, we outline a framework for a network correlation-based channel prediction enabling to determine the quality of unknown channel between any two communicating nodes by knowing only channels of these two nodes to reference nodes. Then, we demonstrate use-cases and application scenarios for all machine learning-based channel quality predictions. We also assess potential reduction in channel quality measurement-related overhead by all approaches to demonstrate their complementarity and capabilities to support low-overhead and energy-friendly massive deployment of devices in 6G mobile networks.","1558-1896","","10.1109/MCOM.001.2200305","ANR(grant numbers:ANR-19-P3IA-0002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10192311","","6G mobile communication;Time-frequency analysis;Costs;Employment;Energy measurement;Machine learning;Radio communication;Radio spectrum management;Channel capacity;Quality assessment","","4","","15","IEEE","24 Jul 2023","","","IEEE","IEEE Magazines"
"Accelerating Reinforcement Learning via Predictive Policy Transfer in 6G RAN Slicing","A. M. Nagib; H. Abou-Zeid; H. S. Hassanein","School of Computing, Queen’s University, ON, Kingston, Canada; Department of Electrical and Software Engineering, University of Calgary, AB, Calgary, Canada; School of Computing, Queen’s University, ON, Kingston, Canada",IEEE Transactions on Network and Service Management,"29 Jun 2023","2023","20","2","1170","1183","Reinforcement Learning (RL) algorithms have recently been proposed to solve dynamic radio resource management (RRM) problems in beyond 5G networks. However, RL-based solutions are still not widely adopted in commercial cellular networks. One of the primary reasons for this is the slow convergence of RL agents when they are deployed in a live network and when the network’s context changes significantly. Concurrently, the open radio access network (O-RAN) paradigm promises to give mobile network operators (MNOs) more control over their networks, furthering the need for intelligent and RL-based network management. O-RAN’s standardized interfaces will allow MNOs to make real-time custom changes to intelligently control various RRM functionalities. We consider a RAN slicing scenario in which MNOs can modify the weights of the RL reward function. This enables MNOs to change the priorities of fulfilling the service level agreements of the slices. However, this results in a practical challenge since the RL agent needs to adapt promptly to the changes made by the MNO. This challenge is addressed in this paper, where we first present and discuss the results from an exhaustive experiment to examine the efficiency of using transfer learning (TL) to accelerate the convergence of RL-based RAN slicing in the considered scenario. We then propose a novel predictive approach to enhance the TL-based acceleration by selecting the best-saved policy for reuse. By adopting the proposed policy transfer approach, RL agents are able to converge up to 14000 learning steps faster than their non-accelerated counterparts. The proposed machine learning (ML)-based predictive approach also shows up to a 96.5% accuracy in selecting the best expert policy to reuse for acceleration.","1932-4537","","10.1109/TNSM.2023.3258692","Natural Sciences and Engineering Research Council of Canada (NSERC)(grant numbers:RGPIN-2019-05667,RGPIN-2021-04050); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075524","O-RAN;RAN slicing;resource allocation;predictive transfer learning;accelerated reinforcement learning;6G","Resource management;Next generation networking;Convergence;Radio access networks;Wireless networks;Accelerated aging;Knowledge engineering","","8","","37","IEEE","17 Mar 2023","","","IEEE","IEEE Journals"
"A Slice-Aware Network Embedding (SANE) Strategy for Network Service Requests in 6G","T. Srinivasan; M. Kowsalya; H. -J. Kim; I. -H. Ra","School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; Department of IT Applied System Engineering, Chonbuk National University, Jeonju, Jeonju, South Korea; School of Software, Kunsan National University, Gunsan, South Korea",2023 Innovations in Power and Advanced Computing Technologies (i-PACT),"26 Feb 2024","2023","","","1","5","6G networks are projected to provide more individualized end-to-end services and innovative cloud-edge applications than current 5G networks. Network slicing (NS) is required when embedding 6G mobile network resources and sharing them across devices with varying needs. Recent advancements in 6G NS have been propelled by Network Function Virtualization (NFV) and Software Defined Networking (SDN) technologies, which virtualize network functions. Allocating resources in 6G is a pressing issue that needs additional study. Virtual network embedding focuses primarily on node mapping and link mapping, the two most important network properties. Resource allocation in a 6G network is addressed here by using the Slice-Aware Network Embedding (SANE) technique. The slice-defined node ranking method is shown for node mapping, and the k-shortest route algorithm is presented for link mapping, both of which are contributed to by this work. The performance of the proposed strategy is measured by looking at metrics like average acceptance rates, cost-to-revenue, and bandwidth utilization. The results of this study are compared to those of other researches done in the same area to demonstrate their validity.","","979-8-3503-2518-8","10.1109/i-PACT58649.2023.10434552","MSIT(grant numbers:2021R1A2C2014333); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434552","6G;resource allocation;network slicing;node ranking;shortest path algorithm","6G mobile communication;Network slicing;Network function virtualization;Resource management;Security;Software defined networking;Service level agreements","","","","13","IEEE","26 Feb 2024","","","IEEE","IEEE Conferences"
"Machine Learning Empowered Emerging Wireless Networks in 6G: Recent Advancements, Challenges and Future Trends","H. M. F. Noman; E. Hanafi; K. A. Noordin; K. Dimyati; M. N. Hindia; A. Abdrabou; F. Qamar","Department of Electrical Engineering, Advanced Communication Research and Innovation (ACRI), Faculty of Engineering, University of Malaya, Kuala Lumpur, Malaysia; Department of Electrical Engineering, Advanced Communication Research and Innovation (ACRI), Faculty of Engineering, University of Malaya, Kuala Lumpur, Malaysia; Department of Electrical Engineering, Advanced Communication Research and Innovation (ACRI), Faculty of Engineering, University of Malaya, Kuala Lumpur, Malaysia; Department of Electrical Engineering, Advanced Communication Research and Innovation (ACRI), Faculty of Engineering, University of Malaya, Kuala Lumpur, Malaysia; Department of Electrical Engineering, Advanced Communication Research and Innovation (ACRI), Faculty of Engineering, University of Malaya, Kuala Lumpur, Malaysia; Department of Electrical and Communication Engineering, College of Engineering, United Arab Emirates University, Al Ain, United Arab Emirates; Centre for Cyber Security, Faculty of Information Science and Technology (FTSM), Universiti Kebangsaan Malaysia (UKM), Bangi, Selangor, Malaysia",IEEE Access,"10 Aug 2023","2023","11","","83017","83051","The upcoming 6G networks are sixth-sense next-generation communication networks with an ever-increasing demand for enhanced end-to-end (E2E) connectivity towards a connected, sustainable world. Recent developments in artificial intelligence (AI) have enabled a wide range of novel technologies through the availability of advanced machine learning (ML) models, large datasets, and high computational power. In addition, intelligent resource management is a key feature of 6G networks that enables self-configuration and self-healing by leveraging the parallel computing and autonomous decision-making ability of ML techniques to enhance energy efficiency and computational capacity in 6G networks. Consequently, ML techniques will play a significant role in addressing resource management and mobility management challenges in 6G wireless networks. This article provides a comprehensive review of state-of-the-art ML algorithms applied in 6G wireless networks, categorized into learning types, including supervised and unsupervised machine learning, Deep Learning (DL), Reinforcement Learning (RL), Deep Reinforcement Learning (DRL) and Federated Learning (FL). In particular, we review the ML algorithms applied in the emerging networks paradigm, such as device-to-device (D2D) networks, vehicular networks (Vnet), and Fog-Radio Access Networks (F-RANs). We highlight the ML-based solutions to address technical challenges in terms of resource allocation, task offloading, and handover management. We also provide a detailed review of the ML techniques to improve energy efficiency and reduce latency in 6G wireless networks. To this end, we identify the open research issues and future trends concerning ML-based intelligent resource management applications in 6G networks.","2169-3536","","10.1109/ACCESS.2023.3302250","United Arab Emirates University(grant numbers:12N107); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10209158","6G;D2D communication;energy efficiency;machine learning;resource management","6G mobile communication;Resource management;Wireless networks;Optimization;Device-to-device communication;Deep learning;Surveys","","26","","166","CCBYNCND","4 Aug 2023","","","IEEE","IEEE Journals"
"Deep Learning for Multi-User Proactive Beam Handoff: A 6G Application","F. B. Mismar; A. Gündoğan; A. Ö. Kaya; O. Chistyakov","Nokia Bell Labs Consulting, Murray Hill, NJ, USA; Nokia Bell Labs, Munich, Germany; Nokia Bell Labs, Murray Hill, NJ, USA; Nokia Bell Labs, Espoo, Finland",IEEE Access,"19 May 2023","2023","11","","46271","46282","This paper demonstrates the use of deep learning and time series data generated from user equipment (UE) beam measurements and positions collected by the base station (BS) to enable handoffs between beams that belong to the same or different BSs. We propose the use of long short-term memory (LSTM) recurrent neural networks with three different approaches and vary the number of lookbacks of the beam measurements to study the performance of the prediction used for the proactive beam handoff. Simulations show that while UE positions can improve the prediction performance, it is only up to a certain point. At a sufficiently large number of lookbacks, the UE positions become irrelevant to the prediction accuracy since the LSTMs are able to learn the optimal beam based on implicitly defined positions from the time-defined trajectories.","2169-3536","","10.1109/ACCESS.2023.3274810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10122528","Beamforming;deep learning;handoff;predictive;radio resource management;transfer learning","Deep learning;Switches;Base stations;Trajectory;Handover;6G mobile communication;Array signal processing;Resource management;Radio communication;Transfer learning","","1","","27","CCBYNCND","10 May 2023","","","IEEE","IEEE Journals"
"Implicit Channel Learning For Machine Learning Applications In 6G Wireless Networks","A. M. Elbir; W. Shi; K. V. Mishra; A. K. Papazafeiropoulos; S. Chatzinotas","Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; School of Information Technology, Carleton University, Ottawa, Canada; Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg","2023 IEEE International Conference on Acoustics, Speech, and Signal Processing Workshops (ICASSPW)","2 Aug 2023","2023","","","1","5","With the deployment of the fifth generation (5G) wireless systems gathering momentum across the world, possible technologies for 6G are under active research discussions. In particular, the role of machine learning (ML) in 6G is expected to enhance and aid emerging applications such as virtual and augmented reality, vehicular autonomy computer vision and internet of everything. This will result in large segments of wireless data traffic comprising image, video and speech. The ML algorithms process these for classification/recognition/estimation through the learning models located on cloud servers. This requires wireless transmission of data from edge devices to the cloud server. Channel estimation, handled separately from recognition step, is critical for accurate learning performance. Toward combining the learning for both channel and the ML data, we introduce implicit channel learning to perform the ML tasks without estimating the wireless channel. Here, the ML models are trained with channel-corrupted datasets in place of nominal data. Without channel estimation, the proposed approach exhibits approximately 60% improvement in image and speech classification tasks for diverse scenarios such as millimeter wave and IEEE 802.11p vehicular channels.","","979-8-3503-0261-5","10.1109/ICASSPW59220.2023.10193569","Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10193569","Machine learning;channel estimation;artificial intelligence;wireless communications","6G mobile communication;Performance evaluation;Maximum likelihood estimation;Cloud computing;Wireless networks;Channel estimation;Machine learning","","1","","19","IEEE","2 Aug 2023","","","IEEE","IEEE Conferences"
"Explanation-Guided Deep Reinforcement Learning for Trustworthy 6G RAN Slicing","F. Rezazadeh; H. Chergui; J. Mangues-Bafalluy","Centre Tecnológic de Telecomunicacions de Catalunya (CTTC), Barcelona, Spain; i2CAT Foundation, Barcelona, Spain; Centre Tecnológic de Telecomunicacions de Catalunya (CTTC), Barcelona, Spain",2023 IEEE International Conference on Communications Workshops (ICC Workshops),"23 Oct 2023","2023","","","1026","1031","The complexity of emerging sixth-generation (6G) wireless networks has sparked an upsurge in adopting artificial intelligence (AI) to underpin the challenges in network management and resource allocation under strict service level agreements (SLAs). It inaugurates the era of massive network slicing as a distributive technology where tenancy would be extended to the final consumer through pervading the digitalization of vertical immersive use-cases. Despite the promising performance of deep reinforcement learning (DRL) in network slicing, lack of transparency, interpretability, and opaque model concerns impedes users from trusting the DRL agent decisions or predictions. This problem becomes even more pronounced when there is a need to provision highly reliable and secure services. Leveraging eXplainable AI (XAI) in conjunction with an explanation-guided approach, we propose an eXplainable reinforcement learning (XRL) scheme to surmount the opaqueness of black-box DRL. The core concept behind the proposed method is the intrinsic interpretability of the reward hypothesis aiming to encourage DRL agents to learn the best actions for specific network slice states while coping with conflict-prone and complex relations of stateaction pairs. To validate the proposed framework, we target a resource allocation optimization problem where multi-agent XRL strives to allocate optimal available radio resources to meet the SLA requirements of slices. Finally, we present numerical results to showcase the superiority of the adopted XRL approach over the DRL baseline. As far as we know, this is the first work that studies the feasibility of an explanation-guided DRL approach in the context of 6G networks.","2694-2941","979-8-3503-3307-7","10.1109/ICCWorkshops57953.2023.10283684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10283684","6G;network slicing;AI;XAI;XRL;resource allocation","6G mobile communication;Deep learning;Network slicing;Conferences;Wireless networks;Reinforcement learning;Resource management","","7","","13","IEEE","23 Oct 2023","","","IEEE","IEEE Conferences"
"Machine Learning for 6G Enhanced Ultra-Reliable and Low-Latency Services","Y. Liu; Y. Deng; A. Nallanathan; J. Yuan","Tongji University, China; King's College, London, U.K.; Queen Mary University of London, U.K.; University of New South Wales, NSW, Australia",IEEE Wireless Communications,"18 Apr 2023","2023","30","2","48","54","Ultra-reliable and low-latency communications (URLLC), as one of the major communication services of the fifth-generation (5G) and the sixth-generation (6G) cellular networks, is critical to supporting a variety of emerging mission-critical applications. However, the modern mobile networks could not satisfy the latency and reliability requirements, as well as other Quality of Service (QoS) requirements, including spectrum efficiency, energy efficiency, capacity, jitter, round-trip delay, network coverage, etc. To fulfill diverse QoS requirements for various URLLC applications, machine learning (ML) solutions are promising for future 6G networks. In this article, we first categorize the 6G URLLC vision into three connectivity characteristics, including ubiquitous connectivity, deep connectivity, and holographic connectivity, with their corresponding unique QoS requirements. We then identify potential challenges in meeting these connectivity requirements, and investigate promising ML solutions to achieve the intelligent connectivity for the 6G URLLC service. We further discuss how to implement the ML algorithms to guarantee the QoS requirements for different URLLC scenarios, including mobility URLLC, massive URLLC, and broadband URLLC. Finally, we present a case study of downlink URLLC channel access problems, solved by centralized deep reinforcement learning (CDRL) and federated DRL (FDRL), respectively, which validates the effectiveness of machine learning for URLLC services.","1558-0687","","10.1109/MWC.006.2200407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10105173","","6G mobile communication;Machine learning algorithms;Mission critical systems;Quality of service;Reinforcement learning;Ultra reliable low latency communication;Downlink","","25","","15","IEEE","18 Apr 2023","","","IEEE","IEEE Magazines"
"Multi-Agent Reinforcement Learning for Dynamic Resource Management in 6G in-X Subnetworks","X. Du; T. Wang; Q. Feng; C. Ye; T. Tao; L. Wang; Y. Shi; M. Chen","Shanghai Key Laboratory of Trustworthy Computing, MoE Engineering Research Center of Software/Hardware Co-Design Technology and Application, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, MoE Engineering Research Center of Software/Hardware Co-Design Technology and Application, East China Normal University, Shanghai, China; Bell Laboratories, Nokia Shanghai Bell Corporation, Shanghai, China; Bell Laboratories, Nokia Shanghai Bell Corporation, Shanghai, China; Bell Laboratories, Nokia Shanghai Bell Corporation, Shanghai, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; School of Information Science and Technology, ShanghaiTech University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, MoE Engineering Research Center of Software/Hardware Co-Design Technology and Application, East China Normal University, Shanghai, China",IEEE Transactions on Wireless Communications,"9 Mar 2023","2023","22","3","1900","1914","The 6G network enables a subnetwork-wide evolution, resulting in a “network of subnetworks”. However, due to the dynamic mobility of wireless subnetworks, the data transmission of intra-subnetwork and inter-subnetwork will inevitably interfere with each other, which poses a great challenge to radio resource management. Moreover, most existing approaches require the instantaneous channel gain between subnetworks, which are usually difficult to be collected. To tackle these issues, in this paper we propose a novel effective intelligent radio resource management method using multi-agent deep reinforcement learning (MARL), which only needs the sum of received power, named received signal strength indicator (RSSI), on each channel instead of channel gains. However, to directly separate individual interference from RSSI is an almost impossible thing. To this end, we further propose a novel MARL architecture, named GA-Net, which integrates a hard attention layer to model the importance distribution of inter-subnetwork relationships based on RSSI and excludes the impact of unrelated subnetworks, and employs a graph attention network with a multi-head attention layer to exact the features and calculate their weights that will impact individual throughput. Experimental results prove that our proposed framework significantly outperforms both traditional and MARL-based methods in various aspects.","1558-2248","","10.1109/TWC.2022.3207918","National Natural Science Foundation of China(grant numbers:61872147); Shenzhen Science and Technology Plan(grant numbers:CJGJZD20210408092400001); Dean’s Fund of Engineering Research Center of Software/Hardware Co-Design Technology and Application, Ministry of Education (East China Normal University); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904510","Graph neural network;interference mitigation;multi-agent DRL;resource management;subnetwork","Resource management;Interference;6G mobile communication;Wireless communication;Training;Power control;Dynamic scheduling","","18","","52","IEEE","27 Sep 2022","","","IEEE","IEEE Journals"
