Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Intelligent Radio Access Network Slicing for Service Provisioning in 6G: A Hierarchical Deep Reinforcement Learning Approach,J. Mei; X. Wang; K. Zheng; G. Boudreau; A. B. Sediq; H. Abou-Zeid,"Department of Electrical and Computer Engineering, Western University, London, ON, Canada; Department of Electrical and Computer Engineering, Western University, London, ON, Canada; Intelligent Computing and Communication (IC2) Laboratory, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; Ericsson Canada Inc., Ottawa, ON, Canada; Ericsson Canada Inc., Ottawa, ON, Canada; Ericsson Canada Inc., Ottawa, ON, Canada",IEEE Transactions on Communications,15 Sep 2021,2021,69.0,9.0,6063,6078,"Network slicing is a key paradigm in 5G and is expected to be inherited in future 6G networks for the concurrent provisioning of diverse quality of service (QoS). Unfortunately, effective slicing of Radio Access Networks (RAN) is still challenging due to time-varying network situations. This paper proposes a new intelligent RAN slicing strategy with two-layered control granularity, which aims at maximizing both the long-term QoS of services and spectrum efficiency (SE) of slices. The proposed method consists of an upper-level controller to ensure the QoS performance, which enforces loose control by performing adaptive slice configuration according to the long-term dynamics of service traffic. The lower-level controller is to improve SE of slices, by tightly scheduling radio resources to users at the small time-scale. To realize the proposed RAN slicing strategy, we propose a model-free deep reinforcement learning (DRL) framework, which is a hierarchical structure that collaboratively integrating the modified deep deterministic policy gradient (DDPG) and double deep-Q-network algorithm. Specifically, the lower-level control problem is a mixed-integer stochastic optimization problem with multiple constraints. This kind of problem is hard to be directly solved by the exiting DRL algorithms, since it involves searching for the solution in a vast set of mixed-integer action space, which will induce unbearable computational complexity. Thus, we propose a novel action space reducing approach, embedding the convex optimization tools into the DDPG algorithm, to speed up the lower-level control. Furthermore, simulation results confirm the effectiveness of our proposed intelligent RAN slicing scheme.",15580857,,10.1109/TCOMM.2021.3090423,Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Program(grant numbers:RGPIN2018-06254); Canada Research Chair Program; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459763,Network slicing;5G beyond;6G;deep reinforcement learning;and radio resource management,Quality of service;Network slicing;Stochastic processes;Resource management;Optimization;Mathematical model;Dynamic scheduling,,84.0,,34.0,IEEE,18 Jun 2021,,,IEEE,IEEE Journals
Customized Slicing for 6G: Enforcing Artificial Intelligence on Resource Management,W. Guan; H. Zhang; V. C. M. Leung,"University of Science and Technology, Beijing, China; University of Science and Technology, Beijing, China; Shenzhen University, China",IEEE Network,8 Nov 2021,2021,35.0,5.0,264,271,"Next generation wireless networks are expected to support diverse vertical industries and offer countless emerging use cases. To satisfy stringent requirements of diversified services, network slicing is developed, which enables service-oriented resource allocation by tailoring the infrastructure network into multiple logical networks. However, there are still some challenges in cross-domain multi-dimensional resource management for end-to-end (E2E) slices under the dynamic and uncertain environment. Trading off the revenue and cost of resource allocation while guaranteeing service quality is significant to tenants. Therefore, this article introduces a hierarchical resource management framework, utilizing deep reinforcement learning in admission control of resource requests from different tenants and resource adjustment within admitted slices for each tenant. In particular, we first discuss the challenges in customized resource management of 6G. Second, the motivation and background are presented to explain why artificial intelligence (AI) is applied in resource customization of multi-tenant slicing. Third, E2E resource management is decomposed into two problems, multi-dimensional resource allocation decision based on slice-level feedback, and real-time slice adaption aimed at avoiding service quality degradation. Simulation results demonstrate the effectiveness of AI-based customized slicing. Finally, several significant challenges that need to be addressed in practical implementation are investigated.",1558156X,,10.1109/MNET.011.2000644,"National Key R&D Program of China(grant numbers:2019YFB1803304); National Natural Science Foundation of China(grant numbers:61822104,61771044,B170003); Fundamental Research Funds for the Central Universities(grant numbers:FRF-TP-19-002C1,FRF-TP-19-0S1A1,RC1631); University of Science and Technology Beijing; Communication University of China(grant numbers:SKLMCC2020KF010); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382026,,Resource management;6G mobile communication;Network slicing;Dynamic scheduling;Decision making;Real-time systems,,58.0,,15.0,IEEE,19 Mar 2021,,,IEEE,IEEE Magazines
Zero-Touch AI-Driven Distributed Management for Energy-Efficient 6G Massive Network Slicing,H. Chergui; L. Blanco; L. A. Garrido; K. Ramantas; S. Kukliński; A. Ksentini; C. Verikoukis,"CTTC, Barcelona; CTTC, Barcelona; Iquadrat; Iquadrat; Orange and Warsaw University of Technology; EURECOM; University of Patras",IEEE Network,20 Jan 2022,2021,35.0,6.0,43,49,"Sixth-generation (6G) systems are expected to inaugurate the era of massive and extremely heterogeneous network slicing, where tenancy would be extended to the final consumer with the proliferation of advanced and diverse digital services. This introduces significant challenges to network management and orchestration in terms of scalability and sustainability. This article starts by elaborating on the architectural and artificial-in-telligence-based algorithmic designs to achieve energy efficiency (EE) in 6G, as well as analyzing their trade-offs. The article then introduces a novel statistical federated learning (StFL)-based analytic engine for zero-touch 6G massive network slicing, which performs slice-level resource prediction by learning in an offline fashion while respecting some preset long-term service level agreement (SLA) constraints defined in terms of the empirical cumulative distribution function and the percentile statistics, and hence uses a new proxy-Lagrangian two-player strategy to solve the local non-convex federated learning task without settling for surro-gates only. This guarantees 20 × lower service-lev-el agreement (SLA) violation rate with respect to the federated averaging (FedAvg) scheme, while achieving more than 10 × EE gain compared to an SLA-constrained centralized deep learning algorithm, which paves the way to sustainable mas-sive network slicing. Finally, the key open research directions in this emerging area are identified.",1558156X,,10.1109/MNET.111.2100322,WUT; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687472,,6G mobile communication;Network slicing;Scalability;Collaborative work;Prediction algorithms;Energy efficiency;Task analysis,,50.0,,15.0,IEEE,20 Jan 2022,,,IEEE,IEEE Magazines
Spectrum-Learning-Aided Reconfigurable Intelligent Surfaces for “Green” 6G Networks,B. Yang; X. Cao; C. Huang; Y. L. Guan; C. Yuen; M. Di Renzo; D. Niyato; M. Debbah; L. Hanzo,"Singapore University of Technology and Design; Singapore University of Technology and Design; Zhejiang University; Nanyang Technological University; Singapore University of Technology and Design; Université Paris-Saclay, CNRS, CentraleSupélec, Laboratoire des Signaux et Systèmes; Nanyang Technological University; Technology Innovation Institute; University of Southampton",IEEE Network,20 Jan 2022,2021,35.0,6.0,20,26,"In the sixth generation (6G) era, emerging large-scale computing-based applications (e.g., processing enormous amounts of images in real time in autonomous driving) tend to lead to excessive energy consumption for end users, whose devices are usually energy-constrained. In this context, energy efficiency becomes a critical challenge to be solved for harnessing these promising applications to realize “green” 6G networks. As a remedy, reconfigurable intelligent surfaces (RISs) have been proposed for improving energy efficiency by beneficially reconfiguring the wireless propagation environment. In conventional RIS solutions, however, the received signal-to-in-terference-plus-noise ratio (SINR) sometimes may become degraded. This is because the signals impinging on an RIS are typically contaminated by interfering signals that are usually dynamic and unknown. To address this issue, “learning” the properties of the surrounding spectral environment is a promising solution, motivating the convergence of artificial intelligence and spectrum sensing, referred to here as spectrum learning (SL). Inspired by this, we develop an SL-aided RIS framework for intelligently exploiting the inherent characteristics of the radio frequency spectrum for green 6G networks. Given the proposed framework, the RIS controller becomes capable of intelligently “thinking and deciding” whether or not to reflect the incident signals. Therefore, the received SINR can be improved by dynamically configuring the binary ON-OFF status of the RIS elements. The energy efficiency benefits attained are validated with the aid of a specific case study. Finally, we conclude with a list of promising future research directions.",1558156X,,10.1109/MNET.110.2100301,National Natural Science Foundation of China(grant numbers:62101492); Fundamental Research Funds for the Central Universities(grant numbers:2021FZZX001-21); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687460,,6G mobile communication;Wireless communication;Wireless sensor networks;Green products;Learning (artificial intelligence);Interference;Reconfigurable intelligent surfaces,,19.0,,15.0,IEEE,20 Jan 2022,,,IEEE,IEEE Magazines
AI-Based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach,H. Sami; H. Otrok; J. Bentahar; A. Mourad,"Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC, Canada; Department of EECS, Center of Cyber-Physical Systems, Khalifa University, Abu Dhabi, UAE; Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC, Canada; Department of Computer Science and Mathematics, Lebanese American University, Beirut, Lebanon",IEEE Transactions on Network and Service Management,8 Sep 2021,2021,18.0,3.0,3527,3540,"Currently, researchers have motivated a vision of 6G for empowering the new generation of the Internet of Everything (IoE) services that are not supported by 5G. In the context of 6G, more computing resources are required, a problem that is dealt with by Mobile Edge Computing (MEC). However, due to the dynamic change of service demands from various locations, the limitation of available computing resources of MEC, and the increase in the number and complexity of IoE services, intelligent resource provisioning for multiple applications is vital. To address this challenging issue, we propose in this paper IScaler, a novel intelligent and proactive IoE resource scaling and service placement solution. IScaler is tailored for MEC and benefits from the new advancements in Deep Reinforcement Learning (DRL). Multiple requirements are considered in the design of IScaler's Markov Decision Process. These requirements include the prediction of the resource usage of scaled applications, the prediction of available resources by hosting servers, performing combined horizontal and vertical scaling, as well as making service placement decisions. The use of DRL to solve this problem raises several challenges that prevent the realization of IScaler's full potential, including exploration errors and long learning time. These challenges are tackled by proposing an architecture that embeds an Intelligent Scaling and Placement module (ISP). ISP utilizes IScaler and an optimizer based on heuristics as a bootstrapper and backup. Finally, we use the Google Cluster Usage Trace dataset to perform real-life simulations and illustrate the effectiveness of IScaler's multi-application autonomous resource provisioning.",19324537,,10.1109/TNSM.2021.3066625,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9380677,Resource provisioning;deep reinforcement learning (DRL);service placement;resource scaling;5G;6G;AI;Internet of Everything (IoE),6G mobile communication;5G mobile communication;Clustering algorithms;Servers;Dynamic scheduling;Artificial intelligence;Internet of Things,,71.0,,42.0,IEEE,17 Mar 2021,,,IEEE,IEEE Journals
Energy-Efficient Resource Allocation Strategy in Massive IoT for Industrial 6G Applications,A. Mukherjee; P. Goswami; M. A. Khan; L. Manman; L. Yang; P. Pillai,"Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China; School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; College of Computing and Information Technology, University of Bisha, Bisha, Saudi Arabia; School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; Information Materials and Intelligent Sensing Laboratory of Anhui Province, and the Key Laboratory of Intelligent computing and Signal Processing, Ministry of Education, Anhui University, Hefei, China; Wolverhampton Cyber Research Institute, University of Wolverhampton, Wolverhampton, U.K.",IEEE Internet of Things Journal,24 Mar 2021,2021,8.0,7.0,5194,5201,"The birth of beyond 5G (B5G) and emerge of 6G have made personal and industrial operations more reliable, efficient, and profitable, accelerating the development of the next-generation Internet of Things (IoT). We know, one of the most important key performance indicators in 6G is smart network architecture, and in massive IoT applications, energy-efficient ubiquity networks rely mainly on the intelligence and automation for industrial applications. This article addresses the energy consumption problem with a massive IoT system model with dynamic network architecture or clustering using a multiagent system (MAS) for industrial 6G applications. The work uses distributed artificial intelligence (DAI) to cluster the sensor nodes in the system to find the main node and predict its location. The work initially uses the backpropagation neural network (BPNN) and convolutional neural network (CNN), which are, respectively, introduced for optimization. Furthermore, the work analyzes the correlation of mutual clusters to allocate resources to individual nodes in each cluster efficiently. The simulation results show that the proposed method reduces the waste of resources caused by redundant data, improves the energy efficiency of the whole network, along with information preservation.",23274662,,10.1109/JIOT.2020.3035608,Natural Science Foundation of Anhui Province(grant numbers:2008085MF186); National Natural Science Foundation of China(grant numbers:41874174); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9247128,6G;convolutional neural networks (CNNs);data mining;distributed artificial intelligence (DAI);Gaussian Copula theory;multiagent system (MAS);resource allocation,6G mobile communication;Internet of Things;Resource management;Data mining;Sensors;Computational modeling;Wireless sensor networks,,83.0,,35.0,IEEE,3 Nov 2020,,,IEEE,IEEE Journals
6G Ecosystem: Current Status and Future Perspective,J. R. Bhat; S. A. Alqahtani,"St. Joseph Engineering College, Mangalore, India; Research Chair of Pervasive and Mobile Computing, King Saud University, Riyadh, Saudi Arabia",IEEE Access,19 Mar 2021,2021,9.0,,43134,43167,"Next-generation of the cellular network will attempt to overcome the limitations of the current Fifth Generation (5G) networks and equip itself to address the challenges which become obvious in the future. Currently, academia and industry have focused their attention on the Sixth Generation (6G) network, which is anticipated to be the next big game-changer in the telecom industry. The outbreak of COVID'19 has made the whole world to opt for virtual meetings, live video interactions ranging from healthcare, business to education. However, we miss an immersive experience due to the lack of supporting technology. Experts have anticipated that starting from the post-pandemic age, the performance requirements of technology for virtual and real-time communication, the rise of several verticals such as industrial automation, robotics, and autonomous driving will increase tremendously, and will skyrocket during the next decade. In this manuscript, we study the latest perspectives and future megatrends that are most likely to drive 6G. Initially, we describe the instances that lead us to the vision of 6G. Later, we narrate some of the use cases and the KPIs essential to meet their performance requirement. Further, we highlight the key requirements of 6G based on contemporary research such as UN sustainability goals, business model, edge intelligence, digital divide, and the trends in machine learning for 6G.",21693536,,10.1109/ACCESS.2021.3054833,"Deanship of Scientific Research, Research Chair of Pervasive and Mobile Computing, King Saud University, Riyadh, Saudi Arabia; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9335927,6G;artificial intelligence;cloud computing;sustainability goals;digital divide;healthcare;machine learning;Tera hertz communication;cellular network;6G architecture,6G mobile communication;5G mobile communication;Reliability;Security;Industries;Surgery;Ecosystems,,169.0,,159.0,CCBYNCND,26 Jan 2021,,,IEEE,IEEE Journals
SpiderNet: Spectrally Efficient and Energy Efficient Data Aided Demand Driven Elastic Architecture for 6G,M. Nabeel; U. S. Hashmi; S. Ekin; H. Refai; A. Abu-Dayya; A. Imran,"University of Oklahoma-Tulsa, USA; National University of Science and Technology, Pakistan; Oklahoma State University, USA; University of Oklahoma-Tulsa, USA; Qatar University, Qatar; University of Oklahoma-Tulsa, USA",IEEE Network,8 Nov 2021,2021,35.0,5.0,256,263,"Legacy base station (BS) centric cellular architecture is marked by tight interlock between spectral efficiency (SE) and energy efficiency (EE). That means, unless new degrees of freedom and intelligent dynamic adaptability is added, any significant gain in SE must come at the cost of EE. Even the most predominant approaches for capacity enhancement such as network densification yield gains in SE at the cost of increased energy consumption. Moreover, in future mobile networks, the key challenge is not only the rampantly growing volume of traffic, but also the spatiotemporal variability of the traffic. These observations call for a paradigm shift in the way cellular networks are designed and operated. Therefore, in this work, we propose a new cellular architecture called SpiderNet: Spectrally Efficient and Energy Efficient Data Aided Demand Driven Elastic Architecture for 6G Wireless Networks. The key idea behind SpiderNet is to introduce additional degrees of freedom to relax the tight coupling between the SE and EE and database-aided intelligence to enable dynamic adaptive operation for simultaneous enhancement of both SE and EE. This goal is achieved by shifting the pivot of operation from the rigid always ON BS centric cells to user centric (UC) on demand cells. The SpiderNet architecture consists of a layer of low-density large footprint and database aided control BS underlayed by high-density switchable data BS. This database enables artificial intelligence (AI) powered proactive dynamic orchestration of UC cells to maximize not only SE and EE, but quality of experience (QoE) as well. We also identify the challenges that arise in the practical realization of SpiderNet and propose solutions. Finally, we present a case study that compares SpiderNet performance with legacy HetNets. The results show that compared to current BS centric cellular architecture, SpiderNet can substantially enhance both SE and EE without compromising QoE.",1558156X,,10.1109/MNET.101.2000635,"National Science Foundation (NSF)(grant numbers:1923669,1923295,1730650); Qatar National Research Fund (QNRF)(grant numbers:NPRP12-S 0311-190302); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9537922,,Computer architecture;Satellite broadcasting;Microprocessors;Switches;6G mobile communication;Base stations;Artificial intelligence,,5.0,,15.0,IEEE,15 Sep 2021,,,IEEE,IEEE Magazines
Transfer Learning Promotes 6G Wireless Communications: Recent Advances and Future Challenges,M. Wang; Y. Lin; Q. Tian; G. Si,"College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin, China; College of Computer Science and Technology and the College of Information and Communication, Harbin Engineering University, Harbin, China; College of Information and Communication Engineering, Harbin Engineering University, Harbin, China",IEEE Transactions on Reliability,8 Jun 2021,2021,70.0,2.0,790,807,"In the coming 6G communications, network densification, high throughput, positioning accuracy, energy efficiency, and many other key performance indicator requirements are becoming increasingly strict. In the future, how to improve work efficiency while saving costs is one of the foremost research directions in wireless communications. Being able to learn from experience is an important way to approach this vision. Transfer learning (TL) encourages new tasks/domains to learn from experienced tasks/domains for helping new tasks become faster and more efficient. TL can help save energy and improve efficiency with the correlation and similarity information between different tasks in many fields of wireless communications. Therefore, applying TL to future 6G communications is a very valuable topic. TL has achieved some good results in wireless communications. In order to improve the development of TL applied in 6G communications, this article performs a comprehensive review of the TL algorithms used in different wireless communication fields, such as base stations/access points switching, indoor wireless localization and intrusion detection in wireless networks, etc. Moreover, the future research directions of mutual relationship between TL and 6G communications are discussed in detail. Challenges and future issues about integrate TL into 6G are proposed at the end. This article is intended to help readers understand the past, present, and future between TL and wireless communications.",15581721,,10.1109/TR.2021.3062045,Scientific Research Foundation for Teachers(grant numbers:3072020CFJ0603); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9388790,Sixth generation (6G);transfer learning (TL);wireless communications,6G mobile communication;Wireless communication;Communication system security;Location awareness;Artificial intelligence;Wireless sensor networks;Task analysis,,166.0,,93.0,IEEE,29 Mar 2021,,,IEEE,IEEE Journals
AI-Driven Collaborative Resource Allocation for Task Execution in 6G-Enabled Massive IoT,K. Lin; Y. Li; Q. Zhang; G. Fortino,"School of Computer Science and Technology, Dalian University of Technology, Dalian, China; School of Computer Science and Technology, Dalian University of Technology, Dalian, China; School of Computer Science and Technology, Dalian University of Technology, Dalian, China; Department of Informatics, Modeling, Electronics, and Systems, University of Calabria, Rende, Italy",IEEE Internet of Things Journal,24 Mar 2021,2021,8.0,7.0,5264,5273,"In the foreseeable future, the rapid growth of devices in the Internet of Things (IoT) will make it difficult for 5G networks to ensure sufficient network resources. 6G technology has attracted increasing attention, bringing new design concepts to the dynamic real-time resource allocation. The resource requirements of devices are usually variable, so a dynamic resource allocation method is needed to ensure the smooth execution of tasks. Therefore, this article first designs a 6G-enabled massive IoT architecture that supports dynamic resource allocation. Then, a dynamic nested neural network is constructed, which adjusts the nested learning model structure online to meet training requirements of dynamic resource allocation. An AI-driven collaborative dynamic resource allocation (ACDRA) algorithm is proposed based on the nested neural network combined with Markov decision process training for 6G-enabled massive IoT. Extensive simulations have been carried out to evaluate ACDRA in terms of several performance criteria, including resource hit rate and decision delay time. The results validated that ACDRA improves the average resource hit rate by about 8% and reduces the average decision delay time by about 7% compared with three reference existing algorithms.",23274662,,10.1109/JIOT.2021.3051031,"Liaoning Province Higher Education Innovative Talent Support Program; Fundamental Research Funds for the Central Universities(grant numbers:DUT19JC22,DUT18RC(3)069); National Natural Science Foundation of China(grant numbers:U1908214); Italian MIUR, PRIN 2017 Project “Fluidware”(grant numbers:CUP H241I17000070001); National Key Research and Development Program of China(grant numbers:2020YFB170458); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320578,Artificial intelligence;edge computing;Internet of Things (IoT);resource allocation;sixth-generation mobile networks,Resource management;Task analysis;6G mobile communication;Dynamic scheduling;Heuristic algorithms;Vehicle dynamics;Real-time systems,,32.0,,35.0,IEEE,12 Jan 2021,,,IEEE,IEEE Journals
