Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"González, CC; Murroni, M",,,Assoc Computing Machinery,"Gonzalez, Claudia Carballo; Murroni, Maurizio",,,Smart radio access selection and slice allocation for differentiated traffic management over 6G heterogeneous networks,"PROCEEDINGS OF THE 2024 15TH ACM MULTIMEDIA SYSTEMS CONFERENCE 2024, MMSYS 2024",,,,,15th ACM Multimedia Systems Conference (ACM MMSys),"APR 15-18, 2024","Bari, ITALY","Assoc Comp Machinery,ACM SIGMM,ACM SIGCOMM,ACM SIGMOBILE",,,,,,,,,"Carballo Gonzalez, Claudia/GLS-6615-2022","MURRONI, MAURIZIO/0000-0002-4618-0698",,,,,,,,,,,,,,,979-8-4007-0412-3,,,,2024,,,,,,,527.0,531.0,,10.1145/3625468.3652915,0.0,,,,,,,,,,,,,WOS:001211636900067,0
J,"Ashwin, M; Alqahtani, AS; Mubarakali, A; Sivakumar, B",,,,"Ashwin, M.; Alqahtani, Abdulrahman Saad; Mubarakali, Azath; Sivakumar, B.",,,Efficient resource management in 6G communication networks using hybrid quantum deep learning model,COMPUTERS & ELECTRICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0045-7906,1879-0755,,,,MAR,2023,106.0,,,,,,,,108565,10.1016/j.compeleceng.2022.108565,0.0,,JAN 2023,,,,,,,,,,,WOS:000923514800001,0
J,"Ghafouri, N; Vardakas, JS; Ramantas, K; Verikoukis, C",,,,"Ghafouri, Navideh; Vardakas, John S.; Ramantas, Kostas; Verikoukis, Christos",,,A Multi-Level Deep RL-Based Network Slicing and Resource Management for O-RAN-Based 6G Cell-Free Networks,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,,,,,,,,,,,,,,,,,,"Ramantas, Kostas/0000-0002-1304-784X; Verikoukis, Christos/0000-0001-8774-1052",,,,,,,,,,,,,0018-9545,1939-9359,,,,NOV,2024,73.0,11,,,,,17472.0,17484.0,,10.1109/TVT.2024.3415656,0.0,,,,,,,,,,,,,WOS:001359239100044,0
J,"Rodrigues, TK; Kato, N",,,,"Rodrigues, Tiago Koketsu; Kato, Nei",,,Network Slicing with Centralized and Distributed Reinforcement Learning for Combined Satellite/Ground Networks in a 6G Environment,IEEE WIRELESS COMMUNICATIONS,,,,,,,,,,,,,,,,,"Koketsu Rodrigues, Tiago/AAK-3872-2021; KATO, NEI/T-5892-2019",,,,,,,,,,,,,,1536-1284,1558-0687,,,,FEB,2022,29.0,1,,,,,104.0,110.0,,10.1109/MWC.001.2100287,0.0,,,,,,,,,,,,,WOS:000803106900028,0
J,"Mei, J; Wang, XB; Zheng, K; Boudreau, G; Bin Sediq, A; Abou-Zeid, H",,,,"Mei, Jie; Wang, Xianbin; Zheng, Kan; Boudreau, Gary; Bin Sediq, Akram; Abou-Zeid, Hatem",,,Intelligent Radio Access Network Slicing for Service Provisioning in 6G: A Hierarchical Deep Reinforcement Learning Approach,IEEE TRANSACTIONS ON COMMUNICATIONS,,,,,,,,,,,,,,,,,"Wang, Xianbin/AAY-3303-2020; Zheng, Kan/KHU-7684-2024","MEI, JIE/0000-0002-2834-8346; Zheng, Kan/0000-0002-8531-6762; Wang, Xianbin/0000-0003-4890-0748",,,,,,,,,,,,,0090-6778,1558-0857,,,,SEP,2021,69.0,9,,,,,6063.0,6078.0,,10.1109/TCOMM.2021.3090423,0.0,,,,,,,,,,,,,WOS:000696079000033,0
J,"Karachalios, OA; Zafeiropoulos, A; Kontovasilis, K; Papavassiliou, S",,,,"Karachalios, Orfeas Agis; Zafeiropoulos, Anastasios; Kontovasilis, Kimon; Papavassiliou, Symeon",,,Distributed Machine Learning and Native AI Enablers for End-to-End Resources Management in 6G,ELECTRONICS,,,,,,,,,,,,,,,,,"Zafeiropoulos, Anastasios/T-6478-2019","Zafeiropoulos, Anastasios/0000-0003-0078-8697; Papavassiliou, Symeon/0000-0002-9459-318X; Karachalios, Orfeas Agis/0009-0005-2605-9582",,,,,,,,,,,,,,2079-9292,,,,SEP,2023,12.0,18,,,,,,,3761,10.3390/electronics12183761,0.0,,,,,,,,,,,,,WOS:001073659400001,0
J,"Ma, LF; Cheng, N; Zhou, CH; Wang, XC; Lu, N; Zhang, N; Aldubaikhy, K; Alqasir, A",,,,"Ma, Longfei; Cheng, Nan; Zhou, Conghao; Wang, Xiucheng; Lu, Ning; Zhang, Ning; Aldubaikhy, Khalid; Alqasir, Abdullah",,,Dynamic Neural Network-Based Resource Management for Mobile Edge Computing in 6G Networks,IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,,,,,,,,,,,,,,,,,"张, 宁/ITT-1343-2023; Zhou, Conghao/JCN-9796-2023; Cheng, Nan/JXM-1078-2024; Lu, Ning/AFC-9176-2022; Alqasir, Abdullah/AAR-2167-2021","Wang, Xiucheng/0000-0003-1439-4875; Alqasir, Abdullah/0000-0003-1572-5509; Zhou, Conghao/0000-0002-5727-2432; Lu, Ning/0000-0002-2141-0653",,,,,,,,,,,,,2332-7731,,,,,JUN,2024,10.0,3,,,,,953.0,967.0,,10.1109/TCCN.2023.3346824,0.0,,,,,,,,,,,,,WOS:001242341100006,0
J,"Ming, Z; Yu, H; Taleb, T",,,,"Ming, Zhao; Yu, Hao; Taleb, Tarik",,,Federated Deep Reinforcement Learning for Prediction-Based Network Slice Mobility in 6G Mobile Networks,IEEE TRANSACTIONS ON MOBILE COMPUTING,,,,,,,,,,,,,,,,,"Taleb, Tarik/ABD-6339-2021; Ming, Zhao/IUO-4283-2023","Ming, Zhao/0000-0002-4522-8901; Taleb, Tarik/0000-0003-1119-1239; Yu, Hao/0000-0003-3522-3426",,,,,,,,,,,,,1536-1233,1558-0660,,,,DEC,2024,23.0,12,,,,,11937.0,11953.0,,10.1109/TMC.2024.3404125,0.0,,,,,,,,,,,,,WOS:001359244600163,0
J,"Du, J; Jiang, CX; Wang, J; Ren, Y; Debbah, M",,,,"Du, Jun; Jiang, Chunxiao; Wang, Jian; Ren, Yong; Debbah, Merouane",,,"Machine Learning for 6G Wireless Networks: Carrying Forward Enhanced Bandwidth, Massive Access, and Ultrareliable/Low-Latency Service",IEEE VEHICULAR TECHNOLOGY MAGAZINE,,,,,,,,,,,,,,,,,"Du, Jun/AAY-6649-2021; Yang, Zhaohui/T-5687-2019; wang, jian/HRB-9588-2023; Jiang, Chunxiao/W-3904-2017","Debbah, Merouane/0000-0001-8941-8080; Wang, Jian/0000-0001-7683-6937",,,,,,,,,,,,,1556-6072,1556-6080,,,,DEC,2020,15.0,4,,,,,122.0,134.0,,10.1109/MVT.2020.3019650,0.0,,,,,,,,,,,,,WOS:000594942700016,0
C,"Cazzella, L; Tagliaferri, D; Mizmizi, M; Matteucci, M; Badini, D; Mazzucco, C; Spagnolini, U",,,IEEE,"Cazzella, Lorenzo; Tagliaferri, Dario; Mizmizi, Marouan; Matteucci, Matteo; Badini, Damiano; Mazzucco, Christian; Spagnolini, Umberto",,,Position-agnostic Algebraic Estimation of 6G V2X MIMO Channels via Unsupervised Learning,2022 IEEE WIRELESS COMMUNICATIONS AND NETWORKING CONFERENCE (WCNC),IEEE Wireless Communications and Networking Conference,,,,IEEE Wireless Communications and Networking Conference (IEEE WCNC),"APR 10-13, 2022","Austin, TX",IEEE,,,,,,,,,"Mizmizi, Marouan/AAU-2546-2020","SPAGNOLINI, UMBERTO/0000-0002-7047-2455",,,,,,,,,,,,,1525-3511,,978-1-6654-4266-4,,,,2022,,,,,,,740.0,745.0,,10.1109/WCNC51071.2022.9771914,0.0,,,,,,,,,,,,,WOS:000819473100126,0
