Title,Issn,SJR Best Quartile,Categories,Year
Ca-A Cancer Journal for Clinicians,"15424863, 00079235",Q1,Hematology (Q1); Oncology (Q1),2020
MMWR Recommendations and Reports,"10575987, 15458601",Q1,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)",2020
Nature Reviews Molecular Cell Biology,"14710072, 14710080",Q1,Cell Biology (Q1); Molecular Biology (Q1),2020
Quarterly Journal of Economics,"00335533, 15314650",Q1,Economics and Econometrics (Q1),2020
Nature Reviews Materials,20588437,Q1,"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)",2020
National Vital Statistics Reports,"15518922, 15518930",Q1,Life-span and Life-course Studies (Q1),2020
Cell,"00928674, 10974172",Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",2020
Nature Reviews Genetics,"14710056, 14710064",Q1,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1),2020
Reviews of Modern Physics,"00346861, 15390756",Q1,Physics and Astronomy (miscellaneous) (Q1),2020
Journal of Political Economy,"00223808, 1537534X",Q1,Economics and Econometrics (Q1),2020
Nature Reviews Immunology,"14741741, 14741733",Q1,Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1),2020
Chemical Reviews,"15206890, 00092665",Q1,Chemistry (miscellaneous) (Q1),2020
MMWR Surveillance Summaries,"15458636, 15460738",Q1,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)",2020
New England Journal of Medicine,"00284793, 15334406",Q1,Medicine (miscellaneous) (Q1),2020
Nature Energy,20587546,Q1,"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)",2020
Nature Reviews Cancer,"1474175X, 14741768",Q1,Cancer Research (Q1); Oncology (Q1),2020
Nature Medicine,"1546170X, 10788956",Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)",2020
Nature Methods,"15487091, 15487105",Q1,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1),2020
Nature Genetics,"10614036, 15461718",Q1,Genetics (Q1),2020
Academy of Management Annals,"19416520, 19416067",Q1,Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1),2020
Annual Review of Immunology,"15453278, 07320582",Q1,Immunology (Q1); Immunology and Allergy (Q1),2020
Journal of Finance,"00221082, 15406261",Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),2020
American Economic Review,"19447981, 00028282",Q1,Economics and Econometrics (Q1),2020
Annual Review of Biochemistry,"15454509, 00664154",Q1,Biochemistry (Q1),2020
Econometrica,"00129682, 14680262",Q1,Economics and Econometrics (Q1),2020
Nature Reviews Chemistry,23973358,Q1,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1),2020
Nature,"14764687, 00280836",Q1,Multidisciplinary (Q1),2020
Review of Economic Studies,"00346527, 1467937X",Q1,Economics and Econometrics (Q1),2020
Annual Review of Astronomy and Astrophysics,"15454282, 00664146",Q1,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),2020
Chemical Society Reviews,"03060012, 14604744",Q1,Chemistry (miscellaneous) (Q1),2020
World Psychiatry,17238617,Q1,Psychiatry and Mental Health (Q1),2020
Nature Biotechnology,"15461696, 10870156",Q1,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1),2020
Administrative Science Quarterly,"00018392, 19303815",Q1,Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1),2020
Energy and Environmental Science,"17545692, 17545706",Q1,"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)",2020
Nature Materials,"14764660, 14761122",Q1,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),2020
Nature Catalysis,25201158,Q1,Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1),2020
Nature Nanotechnology,"17483387, 17483395",Q1,"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)",2020
Immunity,"10974180, 10747613",Q1,Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1),2020
Physiological Reviews,"15221210, 00319333",Q1,Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1),2020
Nature Photonics,17494885,Q1,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)",2020
"Lancet Oncology, The","14702045, 14745488",Q1,Oncology (Q1),2020
Nature Neuroscience,"10976256, 15461726",Q1,Neuroscience (miscellaneous) (Q1),2020
"Lancet, The","01406736, 1474547X",Q1,Medicine (miscellaneous) (Q1),2020
Cancer Cell,"15356108, 18783686",Q1,Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1),2020
American Economic Journal: Applied Economics,"19457790, 19457782",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1)",2020
Review of Financial Studies,"14657368, 08939454",Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),2020
"Lancet Neurology, The","14744465, 14744422",Q1,Neurology (clinical) (Q1),2020
Molecular Cell,"10974164, 10972765",Q1,Cell Biology (Q1); Molecular Biology (Q1),2020
Science,"10959203, 00368075",Q1,History and Philosophy of Science (Q1); Multidisciplinary (Q1),2020
Joule,25424351,Q1,Energy (miscellaneous) (Q1),2020
Nature Reviews Clinical Oncology,"17594782, 17594774",Q1,Oncology (Q1),2020
Journal of Economic Literature,00220515,Q1,Economics and Econometrics (Q1),2020
Annual Review of Plant Biology,"15452123, 15435008",Q1,Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1),2020
Journal of Financial Economics,0304405X,Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1),2020
Nature Reviews Neuroscience,"14710048, 1471003X",Q1,Neuroscience (miscellaneous) (Q1),2020
Living Reviews in Relativity,"14338351, 23673613",Q1,Physics and Astronomy (miscellaneous) (Q1),2020
Nature Reviews Microbiology,"17401534, 17401526",Q1,Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1),2020
Nature Cell Biology,"14764679, 14657392",Q1,Cell Biology (Q1),2020
Academy of Management Journal,00014273,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)",2020
Annual Review of Cell and Developmental Biology,"15308995, 10810706",Q1,Cell Biology (Q1); Developmental Biology (Q1),2020
Strategic Management Journal,"10970266, 01432095",Q1,Business and International Management (Q1); Strategy and Management (Q1),2020
Annual Review of Genetics,"15452948, 00664197",Q1,Genetics (Q1),2020
Astronomy and Astrophysics Review,"09354956, 14320754",Q1,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),2020
Psychological Bulletin,"00332909, 19391455",Q1,History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1),2020
Nature Reviews Disease Primers,2056676X,Q1,Medicine (miscellaneous) (Q1),2020
Advanced Materials,"09359648, 15214095",Q1,Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1),2020
Journal of Clinical Oncology,"15277755, 0732183X",Q1,Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),2020
Annual Review of Physiology,"00664278, 15451585",Q1,Physiology (Q1),2020
American Economic Journal: Macroeconomics,"19457707, 19457715",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1)",2020
Annual Review of Psychology,"00664308, 15452085",Q1,Psychology (miscellaneous) (Q1),2020
Cell Metabolism,"15504131, 19327420",Q1,Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1),2020
Journal of the American College of Cardiology,"15583597, 07351097",Q1,Cardiology and Cardiovascular Medicine (Q1),2020
Annual Review of Neuroscience,"0147006X, 15454126",Q1,Neuroscience (miscellaneous) (Q1),2020
Advanced Energy Materials,"16146832, 16146840",Q1,"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)",2020
Nature Chemistry,"17554330, 17554349",Q1,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1),2020
